number,value,datetime_start,datetime_complete,duration,params_balance_strategy,params_batch_size,params_classifier_dropout,params_classifier_hidden,params_classifier_layers,params_cnn_base_channels,params_cnn_layers,params_discriminator_hidden,params_discriminator_layers,params_domain_loss_weight,params_domain_weight_schedule,params_focal_gamma,params_gamma_grl,params_learning_rate,params_lr_scheduler,params_lstm_bidirectional,params_lstm_dropout,params_lstm_hidden,params_lstm_layers,params_warmup_epochs,params_weight_decay,state
64,0.5265310792474971,2026-01-07 22:37:42.917303,2026-01-07 22:42:41.813512,0 days 00:04:58.896209,focal_only,16,0.40280036659247914,64,2,48,4,96,3,0.23579655314708045,exponential,2.565419011579286,1.0663449326539323,0.0004897971190309231,onecycle,False,0.4826475854537217,96,2,31,2.942760558082944e-06,COMPLETE
65,0.5504168102974074,2026-01-07 22:42:41.814171,2026-01-07 22:48:05.121121,0 days 00:05:23.306950,focal_only,16,0.24011740774949486,64,2,48,4,96,3,0.20946613106666154,exponential,2.4638336054575634,1.2189802881397085,0.000407216772731017,onecycle,True,0.4431243376620604,96,2,32,2.5079134385055863e-06,COMPLETE
66,0.5366575965381936,2026-01-07 22:48:05.125020,2026-01-07 22:53:36.329818,0 days 00:05:31.204798,focal_only,16,0.4583816111071154,64,2,48,4,96,3,0.27071981457631467,constant,2.2637724829330637,1.0021239463939677,0.000290562785841873,onecycle,True,0.4290995551512327,96,2,30,6.059814729037721e-06,COMPLETE
67,0.5385634970112582,2026-01-07 22:53:36.330567,2026-01-07 22:59:04.175441,0 days 00:05:27.844874,focal_only,16,0.5921674757858149,64,2,48,4,32,3,0.3002816592297368,exponential,2.385620702856272,1.44384865307543,0.00038833196493584667,onecycle,True,0.45772423905062154,96,2,31,4.671197876711114e-06,COMPLETE
68,0.5110132384759251,2026-01-07 22:59:04.176189,2026-01-07 23:00:11.796839,0 days 00:01:07.620650,focal_only,64,0.42230556553156284,64,2,48,4,96,1,0.24464083186894303,exponential,2.8152847742233758,1.1539317295715361,0.0005947219590340248,onecycle,False,0.4143753548108995,96,2,33,3.363824810955922e-06,COMPLETE
69,0.5506556162675565,2026-01-07 23:00:11.797671,2026-01-07 23:05:32.065408,0 days 00:05:20.267737,focal_only,16,0.2647523135677586,64,2,48,4,96,2,0.2200238970247336,exponential,2.212982914171411,3.539439348714206,0.0002467995886687621,cosine,True,0.47942712340971066,96,2,28,6.677736938624035e-06,COMPLETE
70,0.5264622831787011,2026-01-07 23:05:32.066076,2026-01-07 23:09:17.622406,0 days 00:03:45.556330,focal_only,16,0.47871998923252423,32,2,48,2,64,3,0.2606603260203211,exponential,2.136042175445286,1.3423225602956574,0.00020690564880990975,onecycle,True,0.4001424256966724,96,2,29,3.5882243986302484e-06,COMPLETE
71,0.14359690491033775,2026-01-07 23:09:17.623143,2026-01-07 23:12:32.731607,0 days 00:03:15.108464,focal_only,16,0.4106526401171557,96,2,32,4,96,3,0.3158354302961295,exponential,2.6816231812828284,1.2911691859236971,0.0005311946387048887,step,True,0.292715806725937,256,2,26,8.736755492235975e-06,PRUNED
72,0.2344876599801973,2026-01-07 23:12:32.732275,2026-01-07 23:15:18.609930,0 days 00:02:45.877655,focal_only,16,0.34247343398321656,64,2,96,4,96,3,0.3979191212222944,exponential,2.5434086655976813,1.1858798743846664,0.00046170347826138405,onecycle,True,0.46176429794551843,192,2,35,5.451811189973109e-06,PRUNED
73,0.5384440940261835,2026-01-07 23:15:18.610601,2026-01-07 23:20:47.074031,0 days 00:05:28.463430,focal_only,16,0.3853446249147415,128,2,32,4,96,3,0.20205608601422795,exponential,2.4880347497420403,1.5353969954675515,0.0007192329691761059,onecycle,True,0.4829647596437218,64,2,32,1.7667996486441928e-05,COMPLETE
74,0.4483846125637171,2026-01-07 23:20:47.074863,2026-01-07 23:22:48.374757,0 days 00:02:01.299894,focal_only,16,0.3223558524354466,64,2,48,2,96,3,0.17992155810153296,exponential,1.7864184109578876,1.1061211426086683,0.0008178212040922202,cosine,True,0.367676347480178,96,2,27,2.4285794795371484e-05,PRUNED
75,0.16914973046316328,2026-01-07 23:22:48.375360,2026-01-07 23:24:15.050557,0 days 00:01:26.675197,focal_only,16,0.4466117224337601,96,3,64,1,96,3,0.28598809263623504,linear,2.6189818064575827,3.018185134197545,0.00034064470151525997,step,True,0.20743847055445008,96,2,39,1.1609851240812126e-05,PRUNED
76,0.20762594887968022,2026-01-07 23:24:15.052497,2026-01-07 23:26:34.291047,0 days 00:02:19.238550,class_weights,16,0.431528327563212,64,2,48,4,96,3,0.2555566904403676,exponential,2.8832980496250933,2.6857807015142674,0.0006316217899099544,onecycle,True,0.28829087671213116,96,2,30,4.425241289679141e-06,PRUNED
77,0.21614507315999854,2026-01-07 23:26:34.291669,2026-01-07 23:29:06.217197,0 days 00:02:31.925528,focal_only,16,0.36365032463329716,64,2,48,3,96,3,0.30709020947405674,exponential,2.701604260177468,1.0869350480515112,0.00043555665962378694,onecycle,True,0.4487186233038231,256,2,37,3.710231685005569e-05,PRUNED
