number,value,datetime_start,datetime_complete,duration,params_balance_strategy,params_batch_size,params_classifier_dropout,params_classifier_hidden,params_classifier_layers,params_cnn_base_channels,params_cnn_layers,params_discriminator_hidden,params_discriminator_layers,params_domain_loss_weight,params_domain_weight_schedule,params_focal_gamma,params_gamma_grl,params_learning_rate,params_lr_scheduler,params_lstm_bidirectional,params_lstm_dropout,params_lstm_hidden,params_lstm_layers,params_use_attention,params_use_residual,params_warmup_epochs,params_weight_decay,state
53,-0.4871794871794872,2026-01-07 13:28:44.446373,2026-01-07 13:28:52.480124,0 days 00:00:08.033751,weighted_sampling,64,0.5635005176874082,128,3,64,1,32,2,0.11114035917489071,exponential,2.8896133583744046,5.951191014734006,0.0001433244718298653,cosine,False,0.19630781798711608,96,2,True,False,7,0.00028688977077667054,COMPLETE
54,-0.4786324786324786,2026-01-07 13:28:52.481605,2026-01-07 13:29:02.190123,0 days 00:00:09.708518,weighted_sampling,64,0.5855890004416718,128,3,64,1,32,2,0.06996643999449434,exponential,2.573576634722254,6.612609109889684,0.00019644785563638158,cosine,False,0.2446779678592329,96,2,True,False,8,0.0005141853935005232,COMPLETE
55,-0.4444444444444444,2026-01-07 13:29:02.190865,2026-01-07 13:29:22.337131,0 days 00:00:20.146266,class_weights,64,0.5900685798991794,32,3,48,2,64,2,0.07781631537955522,exponential,2.7322395880802888,7.1729326228207775,0.0004088281576872214,step,True,0.25144242811664896,256,2,True,False,9,8.458112876098684e-05,COMPLETE
56,-0.5299145299145299,2026-01-07 13:29:22.337803,2026-01-07 13:29:35.208035,0 days 00:00:12.870232,class_weights,64,0.5921231668698105,32,3,48,2,64,2,0.07234618590927609,exponential,2.953480046581556,7.112681540772721,0.0001838721921077246,step,True,0.24750501889314153,96,2,True,False,11,0.00012736521981313696,COMPLETE
57,-0.5470085470085471,2026-01-07 13:29:35.208858,2026-01-07 13:30:01.315955,0 days 00:00:26.107097,class_weights,32,0.49321938675881355,32,3,48,2,64,2,0.060529092431283085,exponential,2.7386885456549233,7.680691354624133,0.0002810633267665056,step,True,0.29304949918625334,256,1,False,False,7,3.620611356558585e-05,COMPLETE
58,-0.41025641025641024,2026-01-07 13:30:01.316685,2026-01-07 13:30:32.710201,0 days 00:00:31.393516,class_weights,64,0.43456715291826387,32,3,48,3,64,1,0.35725220536260527,exponential,3.075919213258973,6.990186331855127,0.0004543120746370023,step,True,0.2060165554717562,256,2,True,False,10,7.22739740940809e-05,COMPLETE
59,-0.49572649572649574,2026-01-07 13:30:32.711076,2026-01-07 13:31:25.497416,0 days 00:00:52.786340,class_weights,16,0.42544601041365837,32,2,48,3,64,1,0.35889366804717715,exponential,3.1535154307277113,7.079322698072392,0.00039949399005607836,step,True,0.2020051406197883,256,1,True,False,10,5.668298336588828e-05,COMPLETE
60,-0.41025641025641024,2026-01-07 13:31:25.498225,2026-01-07 13:31:50.952372,0 days 00:00:25.454147,class_weights,64,0.47097329565513135,32,3,48,3,64,1,0.4001142997043688,linear,3.337303560571675,7.360911566836084,0.00047575342577737775,step,True,0.26480814683664955,256,2,True,False,11,9.677462191834569e-05,COMPLETE
61,-0.49572649572649574,2026-01-07 13:31:50.954290,2026-01-07 13:32:16.369720,0 days 00:00:25.415430,class_weights,64,0.4402978607617424,32,3,48,3,64,1,0.3912984443499574,linear,3.3278851035303783,7.454820530146406,0.00036266216002022535,step,True,0.2619032303375043,256,2,True,False,11,8.428172982060728e-05,COMPLETE
62,-0.4700854700854701,2026-01-07 13:32:16.370438,2026-01-07 13:32:41.057005,0 days 00:00:24.686567,class_weights,64,0.47210774737136885,32,3,48,3,64,1,0.35729489725909325,linear,3.3174915013056157,7.082959454600196,0.000442504167875895,step,True,0.23099044962940435,256,2,True,False,11,5.973233969529949e-05,COMPLETE
